iter	Passed	Remaining
439	1393	1773
440	1396	1769
441	1398	1765
442	1402	1763
443	1405	1759
444	1408	1756
445	1410	1752
446	1413	1748
447	1416	1745
448	1419	1741
449	1421	1737
450	1425	1735
451	1428	1731
452	1430	1727
453	1433	1724
454	1435	1719
455	1439	1717
456	1442	1714
457	1445	1710
458	1448	1706
459	1450	1702
460	1453	1699
461	1456	1695
462	1458	1691
463	1461	1688
464	1464	1684
465	1466	1680
466	1469	1677
467	1472	1673
468	1474	1669
469	1477	1666
470	1480	1662
471	1482	1658
472	1486	1656
473	1489	1652
474	1491	1648
475	1494	1645
476	1496	1641
477	1500	1638
478	1503	1635
479	1506	1632
480	1509	1628
481	1511	1624
482	1515	1621
483	1517	1617
484	1519	1613
485	1522	1610
486	1525	1607
487	1529	1604
488	1533	1602
489	1538	1601
490	1541	1597
491	1544	1594
492	1547	1591
493	1551	1588
494	1556	1587
495	1559	1584
496	1563	1582
497	1566	1578
498	1569	1575
499	1571	1571
500	1575	1569
501	1581	1568
502	1586	1567
503	1592	1567
504	1596	1564
505	1600	1562
506	1605	1561
507	1613	1562
508	1620	1563
509	1627	1563
510	1633	1563
511	1640	1564
512	1648	1564
513	1655	1564
514	1661	1564
515	1669	1565
516	1673	1563
517	1677	1561
518	1683	1560
519	1688	1559
520	1693	1556
521	1697	1554
522	1700	1550
523	1703	1547
524	1707	1545
525	1711	1542
526	1714	1538
527	1717	1535
528	1722	1533
529	1727	1532
530	1730	1528
531	1734	1525
532	1737	1522
533	1740	1519
534	1745	1516
535	1747	1513
536	1752	1510
537	1757	1508
538	1762	1507
539	1767	1505
540	1772	1503
541	1776	1500
542	1779	1497
543	1783	1494
544	1787	1492
545	1792	1490
546	1797	1488
547	1802	1486
548	1806	1484
549	1810	1481
550	1814	1478
551	1817	1475
552	1821	1471
553	1825	1469
554	1828	1465
555	1830	1461
556	1834	1458
557	1837	1455
558	1839	1451
559	1842	1447
560	1846	1445
561	1851	1442
562	1855	1440
563	1858	1437
564	1863	1434
565	1868	1432
566	1873	1430
567	1877	1427
568	1881	1424
569	1884	1421
570	1888	1418
571	1890	1414
572	1893	1411
573	1897	1408
574	1902	1405
575	1906	1403
576	1911	1401
577	1913	1397
578	1917	1393
579	1921	1391
580	1924	1388
581	1928	1384
582	1931	1381
583	1935	1378
584	1938	1375
585	1941	1371
586	1945	1368
587	1948	1365
588	1951	1361
589	1953	1357
590	1956	1354
591	1958	1350
592	1961	1346
593	1964	1342
594	1967	1338
595	1970	1335
596	1973	1332
597	1976	1328
598	1979	1325
599	1981	1321
600	1985	1318
601	1988	1314
602	1990	1310
603	1993	1307
604	1996	1303
605	1999	1299
606	2003	1297
607	2005	1293
608	2008	1289
609	2011	1286
610	2014	1282
611	2017	1279
612	2020	1275
613	2022	1271
614	2025	1267
615	2028	1264
616	2031	1260
617	2034	1257
618	2036	1253
619	2040	1250
620	2042	1246
621	2045	1242
622	2048	1239
623	2051	1236
624	2054	1232
625	2057	1229
626	2059	1225
627	2062	1221
628	2065	1218
629	2068	1214
630	2071	1211
631	2073	1207
632	2075	1203
633	2079	1200
634	2081	1196
635	2084	1192
636	2086	1189
637	2088	1185
638	2091	1181
639	2094	1178
640	2097	1174
641	2100	1171
642	2103	1167
643	2106	1164
644	2109	1160
645	2111	1157
646	2113	1153
647	2116	1149
648	2119	1146
649	2121	1142
650	2124	1139
651	2127	1135
652	2130	1132
653	2133	1128
654	2135	1125
655	2139	1121
656	2141	1117
657	2143	1114
658	2146	1110
659	2148	1106
660	2150	1102
661	2153	1099
662	2156	1096
663	2159	1092
664	2162	1089
665	2164	1085
666	2167	1082
667	2170	1078
668	2173	1075
669	2175	1071
670	2178	1068
671	2181	1064
672	2185	1061
673	2187	1058
674	2190	1054
675	2192	1050
676	2194	1047
677	2197	1043
678	2200	1040
679	2203	1036
680	2205	1033
681	2207	1029
682	2210	1025
683	2213	1022
684	2215	1018
685	2218	1015
686	2220	1011
687	2223	1008
688	2226	1004
689	2229	1001
690	2232	998
691	2234	994
692	2237	991
693	2240	987
694	2242	984
695	2245	980
696	2247	977
697	2250	973
698	2253	970
699	2256	966
700	2259	963
701	2262	960
702	2266	957
703	2270	954
704	2274	951
705	2277	948
706	2281	945
707	2285	942
708	2289	939
709	2293	936
710	2296	933
711	2299	930
712	2301	926
713	2305	923
714	2308	919
715	2311	916
716	2314	913
717	2317	910
718	2320	906
719	2322	903
720	2324	899
721	2327	895
722	2329	892
723	2332	889
724	2336	886
725	2339	882
726	2341	879
727	2345	876
728	2347	872
729	2351	869
730	2353	866
731	2356	862
732	2359	859
733	2361	855
734	2363	852
735	2366	848
736	2368	845
737	2372	842
738	2375	838
739	2378	835
740	2381	832
741	2384	829
742	2387	825
743	2391	822
744	2393	819
745	2396	815
746	2400	813
747	2404	810
748	2406	806
749	2409	803
750	2412	799
751	2415	796
752	2418	793
753	2421	789
754	2423	786
755	2428	783
756	2431	780
757	2435	777
758	2437	774
759	2442	771
760	2445	767
761	2447	764
